Level1,Level2,Description,Suitability
"Subdivision 24: Printing, Publishing and Recorded Media",2339,,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",241: Printing and Services to Printing,,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",2411,Paper Stationery Manufacturing,Green
"Subdivision 24: Printing, Publishing and Recorded Media",2412,Printing,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",2413,Services to Printing,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",242: Publishing,,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",2421,Newspaper Printing or Publishing,Red
"Subdivision 24: Printing, Publishing and Recorded Media",2422,Other Periodical Publishing,Red
"Subdivision 24: Printing, Publishing and Recorded Media",2423,Book and Other Publishing,Amber
"Subdivision 24: Printing, Publishing and Recorded Media",243: Recorded Media Manufacturing and Publishing,,Red
"Subdivision 24: Printing, Publishing and Recorded Media",2430,Recorded Media Manufacturing and Publishing,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2430,,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",251: Petroleum Refining,,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2510,Petroleum Refining,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",252: Petroleum and Coal Product Manufacturing n.e.c.,,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2520,Petroleum and Coal Product Manufacturing n.e.c.,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",253: Basic Chemical Manufacturing,,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2531,Fertiliser Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2532,Industrial Gas Manufacturing,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2533,Synthetic Resin Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2534,Organic Industrial Chemical Manufacturing n.e.c.,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2535,Inorganic Industrial Chemical Manufacturing n.e.c.,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",254: Other Chemical Product Manufacturing,,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2541,Explosive Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2542,Paint Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2543,Medicinal and Pharmaceutical Product Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2544,Pesticide Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2545,Soap and Other Detergent Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2546,Cosmetic and Toiletry Preparation Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2547,Ink Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2549,Chemical Product Manufacturing n.e.c.,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",255: Rubber Product Manufacturing,,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2551,Rubber Tyre Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2559,Rubber Product Manufacturing n.e.c.,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",256: Plastic Product Manufacturing,,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2561,Plastic Blow Moulded Product Manufacturing,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2562,Plastic Extruded Product Manufacturing,Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2563,Plastic Bag and Film Manufacturing,Red
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2564,"Plastic Product, Rigid Fibre Reinforced, Manufacturing",Amber
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2565,Plastic Foam Product Manufacturing,Green
"Subdivision 25: Petroleum, Coal, Chemical and Associated Product Manufacturing",2566,Plastic Injection Moulded Product Manufacturing,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2566,,Red
Subdivision 26: Non-Metallic Mineral Product Manufacturing,261: Glass and Glass Product Manufacturing,,Red
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2610,Glass and Glass Product Manufacturing,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,262: Ceramic Product Manufacturing,,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2621,Clay Brick Manufacturing,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2622,Ceramic Product Manufacturing,Red
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2623,Ceramic Tile and Pipe Manufacturing,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2629,Ceramic Product Manufacturing n.e.c.,Green
Subdivision 26: Non-Metallic Mineral Product Manufacturing,"263: Cement, Lime, Plaster and Concrete Product Manufacturing",,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2631,Cement and Lime Manufacturing,Green
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2632,Plaster Product Manufacturing,Red
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2633,Concrete Slurry Manufacturing,Amber
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2634,Concrete Pipe and Box Culvert Manufacturing,Red
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2635,Concrete Product Manufacturing n.e.c.,Green
Subdivision 26: Non-Metallic Mineral Product Manufacturing,264: Non-Metallic Mineral Product Manufacturing n.e.c.,,Green
Subdivision 26: Non-Metallic Mineral Product Manufacturing,2640,Non-Metallic Mineral Product Manufacturing n.e.c.,Red
Subdivision 27: Metal Product Manufacturing,2640,,Amber
Subdivision 27: Metal Product Manufacturing,271: Iron and Steel Manufacturing,,Red
Subdivision 27: Metal Product Manufacturing,2711,Basic Iron and Steel Manufacturing,Green
Subdivision 27: Metal Product Manufacturing,2712,Iron and Steel Casting and Forging,Green
Subdivision 27: Metal Product Manufacturing,2713,Steel Pipe and Tube Manufacturing,Green
Subdivision 27: Metal Product Manufacturing,272: Basic Non-Ferrous Metal Manufacturing,,Red
Subdivision 27: Metal Product Manufacturing,2721,Alumina Production,Red
Subdivision 27: Metal Product Manufacturing,2722,Aluminium Smelting,Red
Subdivision 27: Metal Product Manufacturing,2723,"Copper, Silver, Lead and Zinc Smelting, Refining",Amber
Subdivision 27: Metal Product Manufacturing,2729,Basic Non-Ferrous Metal Manufacturing n.e.c.,Red
Subdivision 27: Metal Product Manufacturing,273: Non-Ferrous Basic Metal Product Manufacturing,,Red
Subdivision 27: Metal Product Manufacturing,2731,"Aluminium Rolling, Drawing, Extruding",Red
Subdivision 27: Metal Product Manufacturing,2732,"Non-Ferrous Metal Rolling, Drawing, Extruding n.e.c.",Red
Subdivision 27: Metal Product Manufacturing,2733,Non-Ferrous Metal Casting,Amber
Subdivision 27: Metal Product Manufacturing,274: Structural Metal Product Manufacturing,,Green
Subdivision 27: Metal Product Manufacturing,2741,Structural Steel Fabricating,Green
Subdivision 27: Metal Product Manufacturing,2742,Architectural Aluminium Product Manufacturing,Green
Subdivision 27: Metal Product Manufacturing,2749,Structural Metal Product Manufacturing n.e.c.,Amber
Subdivision 27: Metal Product Manufacturing,275: Sheet Metal Product Manufacturing,,Red
Subdivision 27: Metal Product Manufacturing,2751,Metal Container Manufacturing,Green
Subdivision 27: Metal Product Manufacturing,2759,Sheet Metal Product Manufacturing n.e.c.,Amber
Subdivision 27: Metal Product Manufacturing,276: Fabricated Metal Product Manufacturing,,Red
Subdivision 27: Metal Product Manufacturing,2761,Hand Tool and General Hardware Manufacturing,Amber
Subdivision 27: Metal Product Manufacturing,2762,Spring and Wire Product Manufacturing,Red
Subdivision 27: Metal Product Manufacturing,2763,"Nut, Bolt, Screw and Rivet Manufacturing",Red
Subdivision 27: Metal Product Manufacturing,2764,Metal Coating and Finishing,Amber
Subdivision 27: Metal Product Manufacturing,2765,Non-Ferrous Pipe Fitting Manufacturing,Red
Subdivision 27: Metal Product Manufacturing,2769,Fabricated Metal Product Manufacturing n.e.c.,Red
Subdivision 28: Machinery and Equipment Manufacturing,2769,,Red
Subdivision 28: Machinery and Equipment Manufacturing,281: Motor Vehicle and Part Manufacturing,,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2811,Motor Vehicle Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2812,Motor Vehicle Body Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2813,Automotive Electrical and Instrument Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2819,Automotive Component Manufacturing n.e.c.,Green
Subdivision 28: Machinery and Equipment Manufacturing,282: Other Transport Equipment Manufacturing,,Green
Subdivision 28: Machinery and Equipment Manufacturing,2821,Shipbuilding,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2822,Boatbuilding,Green
Subdivision 28: Machinery and Equipment Manufacturing,2823,Railway Equipment Manufacturing,Red
Subdivision 28: Machinery and Equipment Manufacturing,2824,Aircraft Manufacturing,Red
Subdivision 28: Machinery and Equipment Manufacturing,2829,Transport Equipment Manufacturing n.e.c.,Red
Subdivision 28: Machinery and Equipment Manufacturing,283: Photographic and Scientific Equipment Manufacturing,,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2831,Photographic and Optical Good Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2832,Medical and Surgical Equipment Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2839,Professional and Scientific Equipment Manufacturing n.e.c.,Green
Subdivision 28: Machinery and Equipment Manufacturing,284: Electronic Equipment Manufacturing,,Green
Subdivision 28: Machinery and Equipment Manufacturing,2841,Computer and Business Machine Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2842,"Telecommunication, Broadcasting and Transceiving Equipment Manufacturing",Green
Subdivision 28: Machinery and Equipment Manufacturing,2849,Electronic Equipment Manufacturing n.e.c.,Red
Subdivision 28: Machinery and Equipment Manufacturing,285: Electrical Equipment and Appliance Manufacturing,,Green
Subdivision 28: Machinery and Equipment Manufacturing,2851,Household Appliance Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2852,Electric Cable and Wire Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2853,Battery Manufacturing,Red
Subdivision 28: Machinery and Equipment Manufacturing,2854,Electric Light and Sign Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2859,Electrical and Equipment Manufacturing n.e.c.,Green
Subdivision 28: Machinery and Equipment Manufacturing,286: Industrial Machinery and Equipment Manufacturing,,Green
Subdivision 28: Machinery and Equipment Manufacturing,2861,Agricultural Machinery Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2862,Mining and Construction Machinery Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2863,Food Processing Machinery Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2864,Machine Tool and Part Manufacturing,Green
Subdivision 28: Machinery and Equipment Manufacturing,2865,Lifting and Material Handling Equipment Manufacturing,Red
Subdivision 28: Machinery and Equipment Manufacturing,2866,Pump and Compressor Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2867,Commercial Space Heating and Cooling Equipment Manufacturing,Amber
Subdivision 28: Machinery and Equipment Manufacturing,2869,Industrial Machinery and Equipment Manufacturing n.e.c.,Amber
Subdivision 29: Other Manufacturing,2869,,Amber
Subdivision 29: Other Manufacturing,291: Prefabricated Building Manufacturing,,Red
Subdivision 29: Other Manufacturing,2911,Prefabricated Metal Building Manufacturing,Green
Subdivision 29: Other Manufacturing,2919,Prefabricated Building Manufacturing n.e.c.,Red
Subdivision 29: Other Manufacturing,292: Furniture Manufacturing,,Red
Subdivision 29: Other Manufacturing,2921,Wooden Furniture and Upholstered Seat Manufacturing,Red
Subdivision 29: Other Manufacturing,2922,Sheet Metal Furniture Manufacturing,Amber
Subdivision 29: Other Manufacturing,2923,Mattress Manufacturing (Except Rubber),Amber
Subdivision 29: Other Manufacturing,2929,Furniture Manufacturing n.e.c.,Red
Subdivision 29: Other Manufacturing,294: Other Manufacturing,,Amber
Subdivision 29: Other Manufacturing,2941,Jewellery and Silverware Manufacturing,Red
Subdivision 29: Other Manufacturing,2942,Toy and Sporting Good Manufacturing,Red
Subdivision 29: Other Manufacturing,2949,Manufacturing n.e.c.,Red
Subdivision 36: Electricity and Gas Supply,2949,,Red
Subdivision 36: Electricity and Gas Supply,361: Electricity Supply,,Amber
Subdivision 36: Electricity and Gas Supply,3610,Electricity Supply,Red
Subdivision 36: Electricity and Gas Supply,362: Gas Supply,,Red
Subdivision 36: Electricity and Gas Supply,3620,Gas Supply,Green
"Subdivision 37: Water Supply, Sewerage and Drainage Services",3620,,Red
"Subdivision 37: Water Supply, Sewerage and Drainage Services","370: Water Supply, Sewerage and Drainage Services",,Green
"Subdivision 37: Water Supply, Sewerage and Drainage Services",3701,Water Supply,Red
"Subdivision 37: Water Supply, Sewerage and Drainage Services",3702,Sewerage and Drainage Services,Green
Subdivision 41: General Construction,3702,,Green
Subdivision 41: General Construction,411: Building Construction,,Amber
Subdivision 41: General Construction,4111,House Construction,Green
Subdivision 41: General Construction,4112,Residential Building Construction n.e.c.,Amber
Subdivision 41: General Construction,4113,Non-Residential Building Construction,Red
Subdivision 41: General Construction,412: Non-Building Construction,,Red
Subdivision 41: General Construction,4121,Road and Bridge Construction,Red
Subdivision 41: General Construction,4122,Non-Building Construction n.e.c. ,Green
Subdivision 42: Construction Trade Services,4122,,Red
Subdivision 42: Construction Trade Services,421: Site Preparation Services,,Red
Subdivision 42: Construction Trade Services,4210,Site Preparation Services,Red
Subdivision 42: Construction Trade Services,422: Building Structure Services,,Green
Subdivision 42: Construction Trade Services,4221,Concreting Services,Amber
Subdivision 42: Construction Trade Services,4222,Bricklaying Services,Green
Subdivision 42: Construction Trade Services,4223,Roofing Services,Green
Subdivision 42: Construction Trade Services,4224,Structural Steel Erection Services,Amber
Subdivision 42: Construction Trade Services,423: Installation Trade Services,,Amber
Subdivision 42: Construction Trade Services,4231,Plumbing Services,Green
Subdivision 42: Construction Trade Services,4232,Electrical Services,Green
Subdivision 42: Construction Trade Services,4233,Air Conditioning and Heating Services,Amber
Subdivision 42: Construction Trade Services,4234,Fire and Security System Services,Green
Subdivision 42: Construction Trade Services,424: Building Completion Services,,Red
Subdivision 42: Construction Trade Services,4241,Plastering and Ceiling Services,Red
